4G         197547.51 664905.40      0.00
5G         197606.85 664979.97      0.00
6G         197588.65 665060.51      0.00
7G         197642.57 665135.35      0.00
8G         197805.58 665124.76      0.00
9G         197810.76 665221.93      0.00
10G        197795.66 665288.70      0.00
11G        197710.74 665250.83      0.00
12G        197671.50 665434.95      0.00
13G        197743.17 665506.62      0.00
19G        197444.04 664966.36      0.00
20G        197397.57 665001.97      0.00
21G        197371.42 665086.20      0.00
22G        197376.54 665248.12      0.00
23G        197267.51 665335.98      0.00
24G        197481.85 665232.67      0.00
25G        197577.62 665265.50      0.00
26G        197545.79 665425.96      0.00
27G        197654.37 665591.44      0.00
28         197563.46 665862.61      0.00
62         197793.70 665321.62      0.00
112        197756.41 665104.29      0.00
123        197715.08 665316.70      0.00
124        197681.11 665408.87      0.00
125        197648.36 665433.29      0.00
126        197556.75 665426.75      0.00
127        197321.60 665473.23      0.00
129        197639.16 665375.54      0.00
130        197671.20 665416.56      0.00
131        197662.50 665423.16      0.00
137        197646.54 665434.55      0.00
139        197586.07 665470.30      0.00
140        197567.60 665479.15      0.00
141        197506.77 665502.39      0.00
142        197498.92 665504.78      0.00
144        197436.68 665519.07      0.00
145        197751.06 665288.82      0.00
146        197718.92 665247.41      0.00
147        197767.91 665189.86      0.00
148        197768.47 665187.40      0.00
149        197770.68 665173.63      0.00
150        197769.85 665152.01      0.00
151        197766.52 665132.86      0.00
152        197761.64 665116.07      0.00
153        197782.98 665329.93      0.00
307G       197542.85 664900.40      0.00
308G       197555.17 664870.72      0.00
309G       197500.71 664802.92      0.00
310G       197463.26 664738.19      0.00
311G       197318.51 664857.08      0.00
312G       197244.71 664913.57      0.00
313G       197107.28 664995.31      0.00
355        197538.37 665886.12      0.00
382MY      197503.88 664971.83      0.00
383MY      197733.67 665094.82      0.00
384MY      197835.43 665196.03      0.00
385MY      197720.05 665303.21      0.00
386MY      197784.79 665470.90      0.00
391MY      197365.36 665171.13      0.00
392MY      197455.30 665333.43      0.00
393MY      197641.06 665628.36      0.00
2098       197407.16 665523.12      0.00
2145       197392.76 665524.47      0.00
2146       197377.79 665525.46      0.00
2147       197362.80 665526.01      0.00
2148       197347.80 665526.13      0.00
2815       197422.18 665521.28      0.00
2834       197423.90 665562.36      0.00
2835       197427.93 665658.11      0.00
2836       197430.05 665683.25      0.00
2837       197433.49 665704.33      0.00
2838       197439.15 665727.71      0.00
2839       197446.70 665750.66      0.00
2840       197498.90 665839.59      0.00
2841       197513.70 665857.03      0.00
3026       197613.63 665830.63      0.00
3029       197342.42 665526.07      0.00
